# Grasping experiment - NN Model 2 - z5 - grid
# target_x target_y target_z attempt1 attempt2 attempt3
-0.4 0.2 0.05 0 0 0
-0.4 0.3 0.05 0 0 0
# -0.4 0.4 0.05 
-0.3 0.2 0.05 0 0 0
-0.3 0.3 0.05 1 0 0
-0.3 0.4 0.05 1 1 1
-0.2 0.2 0.05 0 0 0
-0.2 0.3 0.05 1 1 1
-0.2 0.4 0.05 0 1 1
-0.1 0.2 0.05 0 0 0
-0.1 0.3 0.05 1 1 1
-0.1 0.4 0.05 1 1 1
-0.0 0.2 0.05 0 0 0
-0.0 0.3 0.05 1 1 1
-0.0 0.4 0.05 1 1 1
0.1 0.2 0.05 0 0 0
0.1 0.3 0.05 1 1 1
0.1 0.4 0.05 1 1 1
0.2 0.2 0.05 0 0 0
0.2 0.3 0.05 1 1 1
0.2 0.4 0.05 1 0 1
0.3 0.2 0.05 0 0 0
0.3 0.3 0.05 0 0 0
# 0.3 0.4 0.05 
