Vision experiment - center and stereovision - grid full
target_x target_y target_z result_x result_y result_z
-0.4 0.2 0.05 -0.402 0.217 0.078
-0.4 0.3 0.05 -0.415 0.327 0.075
-0.4 0.4 0.05 -0.430 0.446 0.070
-0.4 0.5 0.05 -0.484 0.616 0.039
-0.3 0.2 0.05 -0.301 0.214 0.077
-0.3 0.3 0.05 -0.305 0.322 0.075
-0.3 0.4 0.05 -0.309 0.430 0.074
-0.3 0.5 0.05 -0.318 0.553 0.072
-0.2 0.2 0.05 -0.189 0.209 0.078
-0.2 0.3 0.05 -0.197 0.316 0.076
-0.2 0.4 0.05 -0.195 0.426 0.077
-0.2 0.5 0.05 -0.209 0.559 0.066
-0.1 0.2 0.05 -0.090 0.208 0.078
-0.1 0.3 0.05 -0.089 0.313 0.077
-0.1 0.4 0.05 -0.091 0.424 0.078
-0.1 0.5 0.05 -0.089 0.543 0.077
-0.0 0.2 0.05 0.010 0.211 0.076
-0.0 0.3 0.05 0.018 0.313 0.079
-0.0 0.4 0.05 0.019 0.423 0.080
-0.0 0.5 0.05 0.015 0.589 0.047
0.1 0.2 0.05 0.116 0.208 0.073
0.1 0.3 0.05 0.118 0.309 0.083
0.1 0.4 0.05 0.124 0.430 0.073
0.1 0.5 0.05 0.134 0.577 0.053
0.2 0.2 0.05 0.215 0.206 0.077
0.2 0.3 0.05 0.227 0.313 0.070
0.2 0.4 0.05 0.228 0.415 0.078
0.2 0.5 0.05 0.237 0.534 0.071
0.3 0.2 0.05 0.322 0.202 0.077
0.3 0.3 0.05 0.337 0.315 0.066
0.3 0.4 0.05 0.343 0.421 0.071
0.3 0.5 0.05 0.347 0.534 0.072
0.4 0.2 0.05 0.439 0.206 0.068
0.4 0.3 0.05 0.453 0.320 0.064
0.4 0.4 0.05 0.474 0.447 0.057
0.4 0.5 0.05 0.463 0.540 0.067
