# Vision experiment - center and stereovision - grid full
# target_x target_y target_z focus result_x result_y result_z distance
-0.4 0.2 0.05 _ -0.413 0.219 0.072 0.557
-0.4 0.3 0.05 _ -0.414 0.327 0.074 0.589
-0.4 0.4 0.05 _ -0.427 0.442 0.069 0.655
-0.4 0.5 0.05 _ -0.488 0.617 0.030 0.817
-0.3 0.2 0.05 _ -0.305 0.214 0.076 0.469
-0.3 0.3 0.05 _ -0.307 0.320 0.077 0.506
-0.3 0.4 0.05 _ -0.307 0.428 0.075 0.564
-0.3 0.5 0.05 _ -0.335 0.573 0.058 0.684
-0.2 0.2 0.05 _ -0.194 0.209 0.077 0.394
-0.2 0.3 0.05 _ -0.197 0.316 0.076 0.439
-0.2 0.4 0.05 _ -0.202 0.426 0.077 0.505
-0.2 0.5 0.05 _ -0.210 0.563 0.064 0.614
-0.1 0.2 0.05 _ -0.092 0.209 0.075 0.345
-0.1 0.3 0.05 _ -0.090 0.315 0.075 0.393
-0.1 0.4 0.05 _ -0.091 0.424 0.078 0.462
-0.1 0.5 0.05 _ -0.093 0.548 0.064 0.566
-0.0 0.2 0.05 _ 0.010 0.209 0.073 0.324
-0.0 0.3 0.05 _ 0.013 0.308 0.078 0.367
-0.0 0.4 0.05 _ 0.013 0.421 0.074 0.446
-0.0 0.5 0.05 _ 0.015 0.556 0.068 0.556
0.1 0.2 0.05 _ 0.114 0.206 0.082 0.324
0.1 0.3 0.05 _ 0.115 0.314 0.077 0.380
0.1 0.4 0.05 _ 0.117 0.423 0.071 0.456
0.1 0.5 0.05 _ 0.127 0.539 0.079 0.543
0.2 0.2 0.05 _ 0.217 0.203 0.077 0.366
0.2 0.3 0.05 _ 0.219 0.309 0.074 0.413
0.2 0.4 0.05 _ 0.232 0.421 0.073 0.487
0.2 0.5 0.05 _ 0.227 0.532 0.074 0.566
0.3 0.2 0.05 _ 0.322 0.202 0.074 0.429
0.3 0.3 0.05 _ 0.329 0.312 0.069 0.477
0.3 0.4 0.05 _ 0.342 0.427 0.065 0.549
0.3 0.5 0.05 _ 0.342 0.538 0.071 0.620
0.4 0.2 0.05 _ 0.437 0.203 0.067 0.519
0.4 0.3 0.05 _ 0.444 0.316 0.063 0.560
0.4 0.4 0.05 _ 0.452 0.431 0.062 0.621
0.4 0.5 0.05 _ 0.452 0.535 0.066 0.681
