# Vision experiment - focus and stereovision v1 - z10 - grid full
# target_x target_y target_z focus result_x result_y result_z distance sv_working
-0.4 0.2 0.1 True -0.411 0.219 0.133 0.431 True
-0.4 0.3 0.1 True -0.527 0.411 0.057 0.651 False
-0.4 0.4 0.1 True -0.589 0.601 0.006 0.836 False
-0.4 0.5 0.1 True -0.579 0.741 0.019 0.927 False
-0.3 0.2 0.1 True -0.303 0.214 0.131 0.346 True
-0.3 0.3 0.1 True -0.302 0.321 0.138 0.410 True
-0.3 0.4 0.1 True -0.318 0.441 0.125 0.515 True
-0.3 0.5 0.1 True -0.414 0.717 0.031 0.817 False
-0.2 0.2 0.1 False -0.190 0.199 0.128 0.277 True
-0.2 0.3 0.1 True -0.200 0.322 0.136 0.355 True
-0.2 0.4 0.1 True -0.206 0.429 0.134 0.449 True
-0.2 0.5 0.1 True -0.336 0.877 -0.048 0.950 False
-0.1 0.2 0.1 False -0.092 0.203 0.132 0.247 True
-0.1 0.3 0.1 True -0.092 0.315 0.138 0.311 True
-0.1 0.4 0.1 True -0.094 0.420 0.141 0.404 True
-0.1 0.5 0.1 True -0.095 0.524 0.141 0.501 True
-0.0 0.2 0.1 False 0.010 0.208 0.139 0.225 True
-0.0 0.3 0.1 True 0.009 0.311 0.140 0.295 True
-0.0 0.4 0.1 True 0.011 0.416 0.138 0.393 True
-0.0 0.5 0.1 True -0.003 0.809 -0.014 0.818 False
0.1 0.2 0.1 False 0.107 0.201 0.133 0.248 True
0.1 0.3 0.1 True 0.112 0.304 0.144 0.304 True
0.1 0.4 0.1 True 0.114 0.415 0.139 0.404 True
0.1 0.5 0.1 True 0.293 1.817 -0.575 1.993 False
0.2 0.2 0.1 False 0.200 0.200 0.116 0.291 True
0.2 0.3 0.1 True 0.213 0.307 0.134 0.351 True
0.2 0.4 0.1 True 0.215 0.419 0.134 0.444 True
0.2 0.5 0.1 True 0.692 2.015 -0.666 2.294 False
0.3 0.2 0.1 True 0.317 0.207 0.132 0.351 True
0.3 0.3 0.1 True 0.321 0.311 0.133 0.417 True
0.3 0.4 0.1 True 0.324 0.424 0.132 0.502 True
0.3 0.5 0.1 True 1.329 2.490 -0.893 3.016 False
0.4 0.2 0.1 True 0.432 0.212 0.127 0.446 True
0.4 0.3 0.1 True 0.485 0.360 0.093 0.577 False
0.4 0.4 0.1 True 1.910 2.187 -1.018 3.140 False
0.4 0.5 0.1 True 1.571 2.135 -0.726 2.793 False
