# Vision experiment - center and stereovision v1 - z10 - grid full
# target_x target_y target_z focus result_x result_y result_z distance sv_working
-0.4 0.2 0.1 _ -0.402 0.214 0.130 0.515 True
-0.4 0.3 0.1 _ -0.651 0.441 -0.001 0.856 False
-0.4 0.4 0.1 _ -0.617 0.585 0.025 0.889 False
-0.4 0.5 0.1 _ -0.593 0.722 0.034 0.952 False
-0.3 0.2 0.1 _ -0.302 0.209 0.131 0.433 True
-0.3 0.3 0.1 _ -0.306 0.318 0.130 0.476 True
-0.3 0.4 0.1 _ -0.307 0.427 0.134 0.535 True
-0.3 0.5 0.1 _ -0.501 0.801 0.006 0.963 False
-0.2 0.2 0.1 _ -0.199 0.209 0.132 0.357 True
-0.2 0.3 0.1 _ -0.199 0.312 0.131 0.403 True
-0.2 0.4 0.1 _ -0.204 0.421 0.129 0.475 True
-0.2 0.5 0.1 _ -0.275 0.685 0.066 0.736 False
-0.1 0.2 0.1 _ -0.093 0.204 0.134 0.295 True
-0.1 0.3 0.1 _ -0.094 0.307 0.136 0.345 True
-0.1 0.4 0.1 _ -0.095 0.418 0.132 0.426 True
-0.1 0.5 0.1 _ -0.093 0.524 0.135 0.510 True
-0.0 0.2 0.1 _ 0.010 0.206 0.133 0.269 True
-0.0 0.3 0.1 _ 0.011 0.305 0.139 0.318 True
-0.0 0.4 0.1 _ 0.008 0.417 0.133 0.405 True
-0.0 0.5 0.1 _ -0.075 2.105 -0.715 2.293 False
0.1 0.2 0.1 _ 0.108 0.203 0.132 0.278 True
0.1 0.3 0.1 _ 0.111 0.308 0.135 0.332 True
0.1 0.4 0.1 _ 0.116 0.416 0.133 0.412 True
0.1 0.5 0.1 _ 0.338 1.643 -0.462 1.787 False
0.2 0.2 0.1 _ 0.212 0.205 0.134 0.320 True
0.2 0.3 0.1 _ 0.214 0.305 0.132 0.369 True
0.2 0.4 0.1 _ 0.223 0.418 0.131 0.448 True
0.2 0.5 0.1 _ 1.016 2.379 -0.865 2.780 False
0.3 0.2 0.1 _ 0.319 0.204 0.128 0.393 True
0.3 0.3 0.1 _ 0.328 0.314 0.127 0.443 True
0.3 0.4 0.1 _ 0.339 0.426 0.125 0.515 True
0.3 0.5 0.1 _ 1.325 1.972 -0.678 2.511 False
0.4 0.2 0.1 _ 0.431 0.204 0.126 0.481 True
0.4 0.3 0.1 _ 0.449 0.315 0.125 0.531 True
0.4 0.4 0.1 _ 0.451 0.430 0.128 0.590 True
0.4 0.5 0.1 _ 2.026 2.224 -0.789 3.140 False
