# Vision experiment - focus and stereovision v2 - z5 - grid full
# target_x target_y target_z focus result_x result_y result_z distance
-0.4 0.2 0.05 True -0.382 0.212 0.091 0.444
-0.4 0.3 0.05 True -0.388 0.304 0.076 0.518
-0.4 0.4 0.05 True -0.399 0.408 0.059 0.624
-0.4 0.5 0.05 True -0.406 0.503 0.042 0.746
-0.3 0.2 0.05 False -0.299 0.200 0.059 0.397
-0.3 0.3 0.05 True -0.292 0.306 0.080 0.440
-0.3 0.4 0.05 True -0.301 0.408 0.070 0.540
-0.3 0.5 0.05 True -0.310 0.513 0.053 0.667
-0.2 0.2 0.05 False -0.196 0.197 0.062 0.337
-0.2 0.3 0.05 False -0.200 0.296 0.063 0.392
-0.2 0.4 0.05 True -0.205 0.413 0.074 0.485
-0.2 0.5 0.05 True -0.209 0.507 0.065 0.595
-0.1 0.2 0.05 False -0.105 0.202 0.072 0.304
-0.1 0.3 0.05 False -0.098 0.303 0.074 0.352
-0.1 0.4 0.05 True -0.100 0.404 0.081 0.436
-0.1 0.5 0.05 True -0.105 0.498 0.079 0.540
-0.0 0.2 0.05 False 0.005 0.211 0.082 0.278
-0.0 0.3 0.05 True 0.006 0.310 0.082 0.335
-0.0 0.4 0.05 True 0.001 0.406 0.079 0.428
-0.0 0.5 0.05 True -0.006 0.509 0.072 0.544
0.1 0.2 0.05 False 0.097 0.199 0.069 0.303
0.1 0.3 0.05 False 0.101 0.302 0.077 0.351
0.1 0.4 0.05 True 0.100 0.405 0.082 0.436
0.1 0.5 0.05 True 0.095 0.496 0.078 0.536
0.2 0.2 0.05 False 0.194 0.198 0.065 0.337
0.2 0.3 0.05 False 0.199 0.300 0.065 0.393
0.2 0.4 0.05 True 0.205 0.405 0.071 0.479
0.2 0.5 0.05 True 0.195 0.489 0.089 0.552
0.3 0.2 0.05 False 0.291 0.196 0.057 0.388
0.3 0.3 0.05 True 0.302 0.303 0.073 0.449
0.3 0.4 0.05 True 0.301 0.402 0.070 0.533
0.3 0.5 0.05 True 0.288 0.485 0.080 0.604
0.4 0.2 0.05 True 0.395 0.195 0.084 0.449
0.4 0.3 0.05 True 0.399 0.304 0.069 0.529
0.4 0.4 0.05 True 0.394 0.402 0.070 0.604
0.4 0.5 0.05 True 0.389 0.501 0.061 0.704

