# Vision experiment - center and stereovision v2 - z5 - grid full
# target_x target_y target_z focus result_x result_y result_z distance
-0.4 0.2 0.05 _ -0.376 0.202 0.070 0.557
-0.4 0.3 0.05 _ -0.380 0.290 0.072 0.587
-0.4 0.4 0.05 _ -0.392 0.391 0.071 0.655
-0.4 0.5 0.05 _ -0.423 0.508 0.038 0.803
-0.3 0.2 0.05 _ -0.292 0.199 0.075 0.475
-0.3 0.3 0.05 _ -0.296 0.292 0.075 0.511
-0.3 0.4 0.05 _ -0.295 0.389 0.074 0.568
-0.3 0.5 0.05 _ -0.303 0.491 0.071 0.654
-0.2 0.2 0.05 _ -0.196 0.193 0.079 0.394
-0.2 0.3 0.05 _ -0.201 0.296 0.070 0.447
-0.2 0.4 0.05 _ -0.203 0.396 0.076 0.508
-0.2 0.5 0.05 _ -0.211 0.512 0.061 0.619
-0.1 0.2 0.05 _ -0.101 0.201 0.078 0.343
-0.1 0.3 0.05 _ -0.099 0.301 0.074 0.395
-0.1 0.4 0.05 _ -0.099 0.400 0.078 0.462
-0.1 0.5 0.05 _ -0.100 0.506 0.075 0.557
-0.0 0.2 0.05 _ -0.000 0.197 0.081 0.314
-0.0 0.3 0.05 _ 0.001 0.298 0.078 0.367
-0.0 0.4 0.05 _ 0.006 0.402 0.074 0.446
-0.0 0.5 0.05 _ -0.002 0.517 0.071 0.552
0.1 0.2 0.05 _ 0.102 0.202 0.081 0.325
0.1 0.3 0.05 _ 0.099 0.298 0.079 0.373
0.1 0.4 0.05 _ 0.105 0.402 0.075 0.451
0.1 0.5 0.05 _ 0.103 0.502 0.074 0.540
0.2 0.2 0.05 _ 0.202 0.199 0.079 0.364
0.2 0.3 0.05 _ 0.205 0.299 0.078 0.411
0.2 0.4 0.05 _ 0.209 0.403 0.073 0.487
0.2 0.5 0.05 _ 0.197 0.502 0.074 0.566
0.3 0.2 0.05 _ 0.299 0.198 0.077 0.426
0.3 0.3 0.05 _ 0.309 0.302 0.069 0.480
0.3 0.4 0.05 _ 0.304 0.402 0.071 0.539
0.3 0.5 0.05 _ 0.304 0.498 0.074 0.615
0.4 0.2 0.05 _ 0.404 0.194 0.069 0.517
0.4 0.3 0.05 _ 0.406 0.301 0.067 0.558
0.4 0.4 0.05 _ 0.405 0.403 0.067 0.618
0.4 0.5 0.05 _ 0.399 0.494 0.071 0.682
