Vision experiment - focus and stereovision - grid full
target_x target_y target_z result_x result_y result_z
-0.4 0.2 0.05 -0.403 0.220 0.086
-0.4 0.3 0.05 -0.408 0.331 0.080
-0.4 0.4 0.05 -0.428 0.462 0.066
-0.4 0.5 0.05 -0.447 0.600 0.055
-0.3 0.2 0.05 -0.296 0.212 0.063
-0.3 0.3 0.05 -0.301 0.328 0.078
-0.3 0.4 0.05 -0.314 0.443 0.074
-0.3 0.5 0.05 -0.321 0.572 0.071
-0.2 0.2 0.05 -0.196 0.205 0.068
-0.2 0.3 0.05 -0.190 0.306 0.065
-0.2 0.4 0.05 -0.197 0.434 0.076
-0.2 0.5 0.05 -0.211 0.574 0.059
-0.1 0.2 0.05 -0.097 0.204 0.069
-0.1 0.3 0.05 -0.093 0.313 0.074
-0.1 0.4 0.05 -0.092 0.428 0.079
-0.1 0.5 0.05 -0.093 0.541 0.079
-0.0 0.2 0.05 0.012 0.214 0.082
-0.0 0.3 0.05 0.015 0.317 0.083
-0.0 0.4 0.05 0.013 0.425 0.086
-0.0 0.5 0.05 0.014 0.548 0.076
0.1 0.2 0.05 0.108 0.207 0.065
0.1 0.3 0.05 0.113 0.307 0.074
0.1 0.4 0.05 0.121 0.423 0.080
0.1 0.5 0.05 0.126 0.536 0.081
0.2 0.2 0.05 0.202 0.200 0.064
0.2 0.3 0.05 0.211 0.304 0.055
0.2 0.4 0.05 0.227 0.423 0.079
0.2 0.5 0.05 0.245 0.576 0.053
0.3 0.2 0.05 0.312 0.197 0.062
0.3 0.3 0.05 0.325 0.312 0.078
0.3 0.4 0.05 0.335 0.430 0.068
0.3 0.5 0.05 0.335 0.532 0.083
0.4 0.2 0.05 0.430 0.203 0.079
0.4 0.3 0.05 0.440 0.318 0.070
0.4 0.4 0.05 0.453 0.443 0.062
0.4 0.5 0.05 0.456 0.541 0.074
