target pixel space dif to head angles data:
(x_dif, y_dif, head_z, head_y)

-46.5 -29.0 -17.45 -10.04
55.5 -22.5 20.7 -7.32
14.0 -53.0 5.67 -18.92
-14.5 -10.0 -4.97 -5.03
-89.0 -20.5 -33.89 -4.68
104.0 -31.0 39.87 -5.21
3.5 -62.5 1.45 -21.03
32.5 -2.5 11.3 -2.57
-45.5 -21.5 -16.57 -7.57
37.0 -49.5 14.64 -17.25
66.0 -41.0 26.07 -12.32
-49.5 -34.0 -18.68 -11.36
-19.0 -17.5 -7.25 -7.75
21.5 -23.0 7.87 -8.81
1.0 -7.5 0.13 -4.95
55.5 -17.0 20.62 -5.38
90.0 -2.5 33.01 1.21
-81.0 -8.5 -30.02 -1.25
88.0 -24.5 33.1 -5.47
47.0 -3.0 17.19 -2.48
34.5 -37.5 13.32 -13.03
-56.5 -12.0 -20.53 -4.33
-33.5 -17.0 -12.35 -7.32
26.0 -7.5 9.1 -5.12
-13.5 -34.5 -5.14 -13.03
-75.0 10.0 -27.74 3.41
102.0 -7.5 37.67 1.74
49.5 -37.0 19.3 -11.54
63.5 -19.5 23.87 -5.91
-76.0 -37.5 -29.76 -10.31
